State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,Footnote
AL,017052,KINDRED AT HOME,1628 NORTH MCKENZIE STREET,FOLEY,36535,2519433002,Proprietary,true,true,true,true,true,true,1984-09-20 00:00:00, 
AL,017053,ENCOMPASS HOME HEALTH OF ALABAMA,"205 GRACELAND DRIVE, SUITE 3",DOTHAN,36305,3347935758,Proprietary,true,true,true,true,true,true,1984-08-20 00:00:00, 
AL,017054,KINDRED AT HOME,1108 EAST PARK DRIVE,BIRMINGHAM,35235,2058360777,Proprietary,true,true,true,true,true,true,1984-09-04 00:00:00, 
AL,017055,KINDRED AT HOME,1988 FAIRVIEW AVENUE,PRATTVILLE,36066,3343619806,Proprietary,true,true,true,true,true,true,1984-06-08 00:00:00, 
AL,017056,KINDRED AT HOME,"11123 CHANTILLY PARKWAY, UNIT L",PIKE ROAD,36064,3342701151,Proprietary,true,true,true,true,true,true,1984-12-03 00:00:00, 
AL,017058,KINDRED AT HOME,"9037 INDEPENDENCE AVENUE, SUITE B",DAPHNE,36526,2516210882,Proprietary,true,true,true,true,true,true,1984-10-25 00:00:00, 
AL,017063,INTREPID USA HEALTHCARE SERVICES,"200 CENTURY PARK SOUTH, SUITE 116",BIRMINGHAM,35226,2058773403,Proprietary,true,true,true,true,true,true,1985-12-05 00:00:00, 
AL,017066,SPRINGHILL HOME HEALTH AND HOSPICE,10 MOBILE STREET,MOBILE,36607,2514338172,Proprietary,true,true,true,true,true,true,1986-02-24 00:00:00, 
AL,017067,INTREPID USA HEALTHCARE SERVICES,"4141 WALL STREET, SUITE 4141",MONTGOMERY,36106,3342707913,Proprietary,true,true,true,true,true,true,1986-05-09 00:00:00, 
AL,017069,AMEDISYS HOME HEALTH OF FOLEY,1809 N MCKENZIE STREET,FOLEY,36535,8007636382,Proprietary,true,true,true,true,true,true,1986-07-01 00:00:00, 
AL,017070,AMEDISYS HOME HEALTH OF CITRONELLE,"19375 NORTH 3RD STREET, SUITE 101",CITRONELLE,36522,2518663261,Proprietary,true,true,true,true,true,true,1986-07-01 00:00:00, 
AL,017071,KINDRED AT HOME,20 ALMON DRIVE SUITE C,MOULTON,35650,2569742741,Proprietary,true,true,true,true,true,true,1986-08-21 00:00:00, 
AL,017072,AMEDISYS HOME HEALTH OF GREENVILLE,525 GREENVILLE BYPASS,GREENVILLE,36037,3343822042,Proprietary,true,true,true,false,false,true,1987-02-05 00:00:00, 
AL,017078,AMEDISYS HOME HEALTH OF REFORM,315 1ST STREET SOUTH,REFORM,35481,8002777445,Proprietary,true,true,true,true,true,true,1990-06-12 00:00:00, 
AL,017097,"CLAY COUNTY HOSPITAL HOME CARE, LLC",83825 HIGHWAY 9,ASHLAND,36251,2563540077,Proprietary,true,true,true,false,true,true,1992-10-27 00:00:00, 
AL,017100,MARION REGIONAL HOMECARE,"234 1ST AVENUE SW, SUITE 2",HAMILTON,35570,2059210391,Proprietary,true,true,true,true,true,true,1992-10-29 00:00:00, 
AL,017079,ENCOMPASS HEALTH HOME HEALTH,PO BOX 547,VERNON,35592,2056956736,Proprietary,true,true,false,false,false,true,1990-12-21 00:00:00, 
AL,017080,DCH HOME HEALTH CARE AGENCY,1401 GREENSBORO AVENUE,TUSCALOOSA,35401,2057597010,Non - Profit Private,true,true,true,true,true,true,1991-05-02 00:00:00, 
AL,017082,CV HOME HEALTH OF BIBB COUNTY,142 PIERSON AVENUE,CENTREVILLE,35042,2059263211,Proprietary,true,true,false,false,false,true,1991-11-07 00:00:00, 
AL,017084,KINDRED AT HOME,200 CENTRAL PARK PLACE,SELMA,36701,3348726637,Proprietary,true,true,true,true,true,true,1991-11-21 00:00:00, 
AL,017085,COOSA VALLEY HOMECARE,"209 WEST SPRING STREET, SUIT 305",SYLACAUGA,35150,2562080087,Proprietary,true,true,true,true,true,true,1991-12-05 00:00:00, 
AL,017086,ALABAMA HOMECARE,319A MCWILLIAMS AVENUE,CAMDEN,36726,3346829050,Proprietary,true,true,false,true,true,true,1992-01-09 00:00:00, 
AL,017088,FAYETTE MEDICAL CENTER HOMECARE,1653 TEMPLE AVENUE,FAYETTE,35555,2059325961,Proprietary,true,true,true,true,true,true,1991-12-18 00:00:00, 
AL,017089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,1792 ALABAMA HWY 157 NE,CULLMAN,35058,2567372831,Non - Profit Other,true,true,true,false,true,true,1992-06-11 00:00:00, 
AL,017090,KINDRED AT HOME,"12731 HIGHWAY 17, SUITE 3",GILBERTOWN,36908,2518432808,Proprietary,true,true,false,false,false,true,1992-06-10 00:00:00, 
AL,017091,HALE COUNTY HOSPITAL HOME HEALTH,506 GREENE STREET,GREENSBORO,36744,3346243066,Government - State/ County,true,true,true,true,false,true,1992-06-18 00:00:00, 
AL,017092,ENCOMPASS HOME HEALTH OF ALABAMA,194 WILLIAM E HILL DRIVE,CARROLLTON,35447,2053678111,Proprietary,true,true,false,true,false,true,1992-07-01 00:00:00, 
AL,017093,DEKALB REGIONAL HOME HEALTH,"1706 GLENN BOULEVARD, SUITE 3",FORT PAYNE,35968,2565242411,Proprietary,true,true,true,true,true,true,1992-07-30 00:00:00, 
AL,017094,CHEROKEE HOME HEALTH,"704 CHEROKEE PLAZA, SUITE 9",CENTRE,35960,2569271144,Proprietary,true,true,true,false,true,true,1992-08-13 00:00:00, 
AL,017095,ATHENS-LIMESTONE HOMECARE,"725 WEST MARKET STREET, SUITE A",ATHENS,35611,2562339533,Proprietary,true,true,true,true,false,true,1992-08-12 00:00:00, 
AL,017096,TROY REGIONAL MEDICAL CENTER HOME HEALTH,798 HIGHWAY 231 SOUTH,TROY,36081,3344034520,Proprietary,true,true,true,true,true,true,1992-10-27 00:00:00, 
AL,017102,GREEN COUNTY HEALTH SYSTEM HOME HEALTH AGENCY,"607 WILSON AVENUE, SUITE 3",EUTAW,35462,2053723399,Non - Profit Other,true,true,false,true,false,false,1992-12-17 00:00:00, 
AL,017103,BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH,105 HIGHWAY 80 EAST,DEMOPOLIS,36732,3342890701,Government - Combination Government & Voluntary,true,true,true,true,false,true,1992-12-23 00:00:00, 
AL,017104,HIGHLANDS HOME HEALTH,901 HEROES DRIVE,SCOTTSBORO,35768,2562594840,Government - State/ County,true,true,true,true,false,true,1993-01-13 00:00:00, 
AL,017106,EVERGREEN HOME CARE,308 SOUTH MAIN STREET,EVERGREEN,36401,2515786800,Proprietary,true,false,false,false,false,true,1993-01-12 00:00:00, 
AL,017107,SUNCREST HOME HEALTH,"222-224 7TH STREET SOUTH, SUITE 224",CLANTON,35045,2052804663,Proprietary,true,true,true,true,true,true,1993-05-24 00:00:00, 
AL,017109,NORTHWEST HOME HEALTH - HALEYVILLE,42030 HIGHWAY 195 SUITE D,HALEYVILLE,35565,2054857341,Non - Profit Private,true,true,true,true,false,true,1993-06-23 00:00:00, 
AL,017112,JACKSON MEDICAL CENTER HOME HEALTH,3748N COLLEGE AVENUE,JACKSON,36545,2512470424,Proprietary,true,true,false,false,false,true,1993-06-29 00:00:00, 
AL,017115,GADSDEN REGIONAL HOME HEALTH,301 S 4TH STREET,GADSDEN,35901,2565382273,Proprietary,true,true,true,true,false,true,1993-07-27 00:00:00, 
AL,017116,IVY CREEK HOME HEALTH OF ELMORE,500 HOSPITAL DRIVE,WETUMPKA,36092,3345677710,Proprietary,true,true,true,true,false,true,1993-07-26 00:00:00, 
AL,017117,LAKE MARTIN HOME HEALTH,729 EAST SOUTH STREET,DADEVILLE,36853,2568257050,Proprietary,true,true,true,true,true,true,1993-07-29 00:00:00, 
AL,017118,"AMEDISYS HH, A LAWRENCE MEDICAL CENTER PARTNER","15190 COURT STREET, SUITE B",MOULTON,35650,2569742200,Proprietary,true,true,true,true,true,true,1993-08-17 00:00:00, 
AL,017119,HUNTSVILLE HOSPITAL HOMECARE,"500 BOULEVARD SOUTH SW, SUITE 203",HUNTSVILLE,35802,2569226650,Proprietary,true,true,true,true,true,true,1993-09-20 00:00:00, 
AL,017121,KINDRED AT HOME,1309 ANTIOCH ROAD,ANDALUSIA,36420,3342222172,Proprietary,true,true,true,true,false,true,1993-09-27 00:00:00, 
AL,017123,EAMC - LANIER HOME HEALTH,1806 44TH ST.,VALLEY,36854,3347561950,Proprietary,true,true,true,true,false,true,1993-10-21 00:00:00, 
AL,017124,DALE MEDICAL CTR HOME HEALTH,126 HOSPITAL AVENUE,OZARK,36360,3347740750,Non - Profit Other,true,true,false,false,true,true,1993-10-20 00:00:00, 
AL,017125,KELLER HOME CARE,116 4TH AVENUE SE,RED BAY,35582,2563568160,Proprietary,true,true,true,true,true,true,1994-01-20 00:00:00, 
AL,017127,SOUTH BALDWIN REGIONAL HOME HEALTH,110 ELECIA LANE,FOLEY,36535,2514241045,Government - State/ County,true,true,true,true,true,true,1994-02-15 00:00:00, 
AL,017128,MEDICAL CENTERS HOMECARE,11687 US HWY 431,GUNTERSVILLE,35976,2568785811,Proprietary,true,true,true,true,true,true,1994-02-03 00:00:00, 
AL,017129,HOMECARE OF EAST ALABAMA MEDICAL CENTER,"665 OPELIKA ROAD, SUITE 300",AUBURN,36830,3348263131,Proprietary,true,true,true,true,true,true,1994-03-31 00:00:00, 
AL,017130,INFIRMARY HOMECARE,800 COLLEGE AVENUE,JACKSON,36545,2512626477,Proprietary,true,true,false,true,true,true,1994-04-13 00:00:00, 
AL,017132,BROOKDALE HOME HEALTH BIRMINGHAM,"1104 2ND AVE EAST, SUITE C",ONEONTA,35121,2052740720,Proprietary,true,true,true,true,false,false,1994-06-15 00:00:00, 
AL,017134,LHC HOMECARE OF SOUTH ALABAMA,"1802 US HIGHWAY 84 WEST, SUITE A",OPP,36467,3344932087,Proprietary,true,true,true,true,true,true,1994-06-14 00:00:00, 
AL,017135,COMMUNITY HOME CARE,1526 GILMER AVENUE,TALLASSEE,36078,3342836541,Non - Profit Private,true,true,true,true,true,true,1994-09-27 00:00:00, 
AL,017136,RELIABLE HOME HEALTH,435 MEETING AVENUE,GEORGIANA,36033,3343762286,Proprietary,true,true,false,false,false,true,1994-09-26 00:00:00, 
AL,017138,L V STABLER MEMORIAL HOME HEALTH,"104 CAMELLIA AVENUE, SUITE B",GREENVILLE,36037,3343832286,Proprietary,true,true,false,false,true,true,1994-10-18 00:00:00, 
AL,017139,ASSOCIATES HOME HEALTH SERVICES,102 WEST CONECUH AVE,UNION SPRINGS,36089,3347384155,Proprietary,true,true,true,false,false,true,1994-12-12 00:00:00, 
AL,017140,THE HOSPITAL HOME HEALTH,54 ROY BEALL DRIVE,LUVERNE,36049,3343353374,Proprietary,true,true,false,false,false,true,1994-12-28 00:00:00, 
AL,017142,"ATMORE COMMUNITY HOME CARE, LLC","121 LINDBERG AVENUE, SUITE C",ATMORE,36502,2513686286,Non - Profit Other,true,true,false,false,false,true,1995-02-13 00:00:00, 
AL,017143,D W MCMILLAN HOME HEALTH,114 W JACKSON STREET,BREWTON,36426,2518675054,Proprietary,true,true,true,true,true,true,1995-01-23 00:00:00, 
AL,017145,ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY,"2401 STEMLEY BRIDGE ROAD, SUITE 7",PELL CITY,35128,2058847202,Proprietary,true,true,true,true,true,true,1995-11-29 00:00:00, 
AL,017146,NORTHWEST HOME HEALTH,"711 HOSPITAL DRIVE, NE",RUSSELLVILLE,35653,2563310006,Non - Profit Private,true,true,false,false,false,true,1998-10-01 00:00:00, 
AL,017147,PRIME HOME HEALTH OF LEE COUNTY,2125 EXECUTIVE PARK DRIVE,OPELIKA,36801,3347457966,Non - Profit Private,true,true,true,true,true,true,1999-02-18 00:00:00, 
AL,017148,THOMAS HOME HEATLH,"7530 PARKER ROAD, SUITE 200",FAIRHOPE,36532,2519909200,Proprietary,true,true,true,true,true,true,2000-04-13 00:00:00, 
AL,017149,ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY,"1400 URBAN CENTER DRIVE, SUITE 240",BIRMINGHAM,35242,2053132800,Proprietary,true,true,true,true,true,true,2000-07-12 00:00:00, 
AL,017151,KINDRED AT HOME,1328 GREENBRIER-DEAR ROAD,ANNISTON,36207,2568357101,Proprietary,true,true,true,true,true,true,2000-10-05 00:00:00, 
AL,017152,KINDRED AT HOME,1025 WEST FORT WILLIAMS ST,SYLACAUGA,35150,2562494363,Proprietary,true,true,true,true,true,true,2000-10-05 00:00:00, 
AL,017153,COMFORT CARE HOME HEALTH OF ALABASTER,"1140 1ST STREET N, STE 200",ALABASTER,35007,2056850421,Proprietary,true,true,true,true,true,true,2002-03-20 00:00:00, 
AL,017154,AMEDISYS HOME HEALTH,"4735 NORREL DRIVE, SUITE 125",TRUSSVILLE,35173,2056553707,Proprietary,true,true,true,true,true,true,2003-02-20 00:00:00, 
AL,017155,ALACARE HOME HEALTH & HOSPICE (MOBILE),6333 COTTAGE HILL ROAD,MOBILE,36609,2513410707,Proprietary,true,true,true,true,true,true,2004-02-05 00:00:00, 
AL,017156,CITIZENS BAPTIST HOME HEALTH,403 MEDICAL OFFICE PARK,TALLADEGA,35160,2563628111,Non - Profit Religious,true,true,false,true,true,true,2004-08-25 00:00:00, 
AL,017157,AMEDISYS HOME HEALTH OF OPELIKA,"3320 SKYWAY DRIVE, SUITE 804",OPELIKA,36801,3348877234,Proprietary,true,true,true,true,true,true,2006-03-09 00:00:00, 
AL,017158,AMEDISYS HOME HEALTH OF FORT PAYNE,501 GREENHILL BLVD SUITE 150,FORT PAYNE,35967,2568448303,Proprietary,true,true,true,true,true,true,2006-07-11 00:00:00, 
AL,017159,AMEDISYS HOME HEALTH,2560 COUNTY ROAD 112,DOTHAN,36303,8662050818,Proprietary,true,true,true,true,true,true,2006-07-26 00:00:00, 
AL,017160,ENCOMPASS HEALTH HOME HEALTH,205 FOB JAMES DRIVE,VALLEY,36854,3347566225,Proprietary,true,true,true,true,true,true,2006-09-13 00:00:00, 
AL,017161,KINDRED AT HOME,"7067 OLD MADISON PIKE NW, SUITE 105",HUNTSVILLE,35806,2568813266,Proprietary,true,true,true,true,true,true,2007-03-15 00:00:00, 
AL,017163,AMEDISYS HOME HEALTH OF MONROEVILLE,15 MAYFIELD STREET,MONROEVILLE,36460,2512498552,Proprietary,true,true,true,true,true,true,2007-04-12 00:00:00, 
AL,017164,KINDRED AT HOME,2740 HEADLAND AVE,DOTHAN,36303,3349442290,Proprietary,true,true,true,true,true,true,2008-02-27 00:00:00, 
AL,017165,AMEDISYS HOME HEALTH OF FLORENCE,"412 S COURT STREET, SUITE 403",FLORENCE,35630,2567661817,Proprietary,true,true,true,true,true,true,2008-04-10 00:00:00, 
AL,017166,KINDRED AT HOME,118 6TH STREET SOUTH,CLANTON,35045,2057559926,Proprietary,true,true,true,true,true,true,2009-05-11 00:00:00, 
AL,017167,KINDRED AT HOME,614 MARTIN ST N,PELL CITY,35125,2053388440,Proprietary,true,true,true,true,true,true,2009-05-20 00:00:00, 
AL,017168,KINDRED AT HOME,824 WESTERN AMERICA DRIVE,MOBILE,36609,2513160917,Proprietary,true,true,true,true,true,true,2009-05-21 00:00:00, 
AL,017169,CP HOME CARE VANCE LLC,17035 HWY 11 NORTH,VANCE,35490,2055629615,Proprietary,true,true,true,true,true,true,2010-12-15 00:00:00, 
AL,017170,KINDRED AT HOME,1458 JONES DAIRY ROAD SUITE 100,JASPER,35501,2052215234,Proprietary,true,true,true,true,true,true,2009-09-04 00:00:00, 
AL,017171,KINDRED AT HOME,"1015 1ST STREET, SW, SUITE A",CULLMAN,35055,2567392992,Proprietary,true,true,true,true,true,true,2009-09-02 00:00:00, 
AL,017172,"WOODLAND HOME HEALTH SERVICES CRMC, LLC",1910 CHEROKEE AVENUE SW,CULLMAN,35055,2568414443,Proprietary,true,true,true,true,true,true,2011-06-30 00:00:00, 
AL,017175,BROOKWOOD HOME HEALTH LLC,"801 PRINCETON AVE SW, SUITE 210",BIRMINGHAM,35211,2059495510,Proprietary,true,true,true,true,true,true,2013-05-24 00:00:00, 
AL,017176,COMFORT CARE HOME HEALTH OF NORTH ALABAMA,"7017 WALL TRIANA HIGHWAY, SUITE D",MADISON,35757,2563468223,Proprietary,true,true,true,true,true,true,2013-06-12 00:00:00, 
AL,017177,"SHOALS HOME SERVICES, LLC",1114 BRADSHAW DRIVE,FLORENCE,35630,2562469972,Proprietary,true,true,true,true,true,true,2013-08-15 00:00:00, 
AL,017178,"PROHEALTH OF NORTHEAST ALABAMA, LLC","1496 CHESTNUT BYP, UNIT D",CENTRE,35960,2053833538,Proprietary,true,true,true,true,true,true,2015-12-18 00:00:00, 
AL,017179,"PROHEALTH OF NORTH CENTRAL ALABAMA, LLC",923 2ND E AVENUE,ONEONTA,35121,2052740020,Proprietary,true,true,true,true,true,true,2015-12-04 00:00:00, 
AL,017180,"PROHEALTH-GULF COAST, LLC",105B LOTTIE LANE,FAIRHOPE,36532,8663300609,Proprietary,true,true,true,true,true,true,2015-12-23 00:00:00, 
AL,017182,FIVE POINTS HOME HEALTH,"100 CONCOURSE PARKWAY, SUITE 120",HOOVER,35244,2052353232,Proprietary,true,true,true,true,true,true,2016-08-19 00:00:00, 
AL,017300,AMEDISYS HOME HEALTH OF TUSCALOOSA,"1300  MCFARLAND BOULEVARD NORTHEAST, SUITE 320",TUSCALOOSA,35406,2057520606,Proprietary,true,true,true,true,true,true,1976-09-17 00:00:00, 
AL,017305,AMEDISYS HOME HEALTH OF ANNISTON,"171 TOWN CENTER DR, SUITE MPS-4",ANNISTON,36205,2568202503,Proprietary,true,true,true,true,true,true,1979-09-20 00:00:00, 
AL,017307,KINDRED AT HOME,"5009 RIVER CHASE DRIVE, BLDG 100, SUITE D",PHENIX CITY,36867,3342976900,Proprietary,true,true,true,true,true,true,1982-05-04 00:00:00, 
AL,017319,AMEDISYS HOME HEALTH OF MONTGOMERY,"300 INTERSTATE PARK DRIVE, SUITE 324",MONTGOMERY,36109,3342720313,Proprietary,true,true,true,true,true,true,1994-02-01 00:00:00, 
AL,017320,AMEDISYS HOME HEALTH OF SELMA,108 EXECUTIVE PARK LANE,SELMA,36701,3348752550,Proprietary,true,true,true,true,true,true,1991-10-31 00:00:00, 
AL,017323,MONROE CO HOSP PROGRESSIVE HOM,DR WOODROW EDDINS MED DR-P.O. 886,MONROEVILLE,36461,2517437328,Government - Local,true,true,true,false,false,true,1995-03-06 00:00:00, 
AL,017324,ALACARE HOME HEALTH AND HOSPICE,824 HIGHWAY 231 SOUTH,TROY,36081,3345669238,Proprietary,true,true,true,true,true,true,2002-11-13 00:00:00, 
AL,017326,ALACARE HOME HEALTH & HOSPICE,"1690 BELTLINE ROAD, STE B",DECATUR,35601,2563555746,Proprietary,true,true,true,true,true,true,2001-10-12 00:00:00, 
AL,017327,AMEDISYS HOME HEALTH OF WALKER,100 HIGHWAY 78 WEST,JASPER,35501,2052952434,Proprietary,true,true,true,true,true,true,2005-08-03 00:00:00, 
AL,017328,AMEDISYS HOME HEALTH OF BREWTON,2554 DOUGLAS AVENUE,BREWTON,36426,2518091717,Proprietary,true,true,true,true,true,true,2006-01-18 00:00:00, 
AL,017803,BARBOUR COUNTY HOME CARE,39 BROWDER STREET,CLAYTON,36016,3347759044,Government - State/ County,true,true,false,false,true,true,1966-07-01 00:00:00, 
AL,017817,NORTHWEST ALABAMA REGIONAL HOME CARE,1000 SOUTH JACKSON HIGHWAY,SHEFFIELD,35660,2563831234,Government - State/ County,true,true,true,false,true,true,1966-07-01 00:00:00, 
AL,017818,CONECUH COUNTY HOME CARE,102 WILD AVENUE,EVERGREEN,36401,2515785265,Government - State/ County,true,true,false,false,true,true,1966-07-01 00:00:00, 
AL,017824,DALLAS COUNTY HOME CARE,100 SAMUEL O. MOSLEY DR,SELMA,36701,3348722323,Government - State/ County,true,false,false,false,true,true,1969-03-06 00:00:00, 
AL,017828,ETOWAH COUNTY HOME CARE,709 EAST BROAD STREET,GADSDEN,35903,2565475012,Government - State/ County,true,true,true,false,true,true,1966-07-01 00:00:00, 
AL,017831,GENEVA COUNTY HOME CARE,300 COUNTY ROAD 41,HARTFORD,36344,3346842259,Government - State/ County,true,true,false,false,true,true,1966-07-01 00:00:00, 
AL,017835,HOUSTON COUNTY HOME CARE,1781 E COTTONWOOD ROAD,DOTHAN,36302,3346782805,Government - State/ County,true,true,false,false,true,true,1966-07-01 00:00:00, 
AL,017847,MARION COUNTY HOME CARE,"2448 MILITARY STREET, SOUTH",HAMILTON,35570,2059212859,Government - State/ County,true,true,true,true,true,true,1966-07-01 00:00:00, 
AL,017848,MARSHALL COUNTY HOME CARE,150 JUDY SMITH DRIVE,GUNTERSVILLE,35976,2565828425,Government - State/ County,true,true,true,false,true,true,1969-03-26 00:00:00, 
AL,017850,MONROE COUNTY HOME CARE,416 AGRICULTURE DRIVE,MONROEVILLE,36460,2515752980,Government - State/ County,true,true,false,false,false,true,1969-08-14 00:00:00, 
AL,017856,RANDOLPH COUNTY HOME CARE,320 MAIN STREET,ROANOKE,36274,3348638983,Government - State/ County,true,true,true,false,true,true,1966-07-01 00:00:00, 
AL,017861,TALLADEGA COUNTY HOME CARE AGENCY,311 NORTH ELM AVENUE,SYLACAUGA,35150,2562494893,Government - State/ County,true,true,false,false,false,true,1966-07-01 00:00:00, 
AL,017863,TUSCALOOSA COUNTY HOME CARE,2350 HARGROVE ROAD EAST,TUSCALOOSA,35405,2055544520,Government - State/ County,true,true,false,false,true,true,1966-07-01 00:00:00, 
AL,017865,WASHINGTON COUNTY HOME CARE,14900 SAINT STEPHENS AVENUE,CHATOM,36518,2518472257,Government - State/ County,true,false,false,false,true,true,1969-01-10 00:00:00, 
AL,017867,WINSTON COUNTY HOME CARE,110 LEGION ROAD,DOUBLE SPRINGS,35553,2054863159,Government - State/ County,true,true,false,true,true,true,1966-07-01 00:00:00, 
AL,017872,LAMAR COUNTY HOME CARE,300 SPRINGFIELD ROAD,VERNON,35592,2056956916,Government - State/ County,true,true,false,false,true,true,1985-05-02 00:00:00, 
AL,017873,MORGAN COUNTY HOME CARE AGENCY,3821 US HIGHWAY 31,DECATUR,35603,2563062400,Government - State/ County,true,true,true,false,true,true,1987-02-25 00:00:00, 
AL,017876,LAWRENCE COUNTY HOME CARE,"13299 ALABAMA HIGHWAY 157, P O BOX 308",MOULTON,35650,2569747076,Government - State/ County,true,true,false,false,true,true,1988-04-05 00:00:00, 
AK,027001,PROVIDENCE IN HOME SERVICES,"4001 DALE STREET, SUITE 101",ANCHORAGE,99508,9075630130,Non - Profit Religious,true,true,true,true,true,true,1982-05-17 00:00:00, 
AK,027002,HOSPICE & HOME CARE OF JUNEAU,419 SIXTH STREET,JUNEAU,99801,9074633113,Non - Profit Religious,true,true,true,true,true,true,1982-12-27 00:00:00, 
AK,027006,FAIRBANKS MEMORIAL HOSPITAL HHA,1701 GILLAM WAY,FAIRBANKS,99701,9074585410,Non - Profit Other,true,true,false,false,true,true,1985-09-19 00:00:00, 
AK,027007,SITKA COMMUNITY HOSPITAL HHA,209 MOLLER AVENUE,SITKA,99835,9077471750,Government - Local,true,true,true,true,false,true,1985-09-26 00:00:00, 
AK,027008,MAT-SU REGIONAL HOME CARE,"950 E BOGARD, STE 132",WASILLA,99654,9078616000,Proprietary,true,true,true,true,true,true,1987-01-22 00:00:00, 
AK,027009,PETERSBURG MEDICAL CENTER HOME,P.O. BOX 589,PETERSBURG,99833,9077724291,Non - Profit Other,true,true,true,false,true,true,1987-07-21 00:00:00, 
AK,027010,SOUTH PENINSULA HOSPITAL HHA,4300 BARTLETT STREET,HOMER,99603,9072350369,Government - State/ County,true,true,true,true,true,true,1990-02-20 00:00:00, 
